ticker,entry_time,exit_time,entry_price,exit_price,highest_price,pnl
MOEX,2021-05-11 07:00:00+00:00,2021-05-12 19:00:00+00:00,188.95,188.34,191.3,-53.526940308128005
NVTK,2021-06-02 14:00:00+00:00,2021-06-03 13:00:00+00:00,1545.6,1523.6,1562.0,-282.44084882575174
NVTK,2021-06-03 14:00:00+00:00,2021-06-08 06:00:00+00:00,1548.2,1561.0,1583.0,163.586226335897
NVTK,2021-06-08 18:00:00+00:00,2021-06-10 09:00:00+00:00,1590.8,1582.6,1619.8,-81.72776300021069
ALRS,2021-06-08 06:00:00+00:00,2021-06-16 06:00:00+00:00,124.81,137.67,139.98,2042.0808853802391
NVTK,2021-07-02 15:00:00+00:00,2021-07-06 13:00:00+00:00,1658.4,1672.8,1705.4,175.49394922165055
NVTK,2021-07-07 09:00:00+00:00,2021-07-08 06:00:00+00:00,1666.2,1637.0,1666.2,-354.8119293618099
CHMF,2021-07-29 07:00:00+00:00,2021-08-03 06:00:00+00:00,1795.8,1782.6,1805.0,-148.29741738455775
SBER,2021-08-09 17:00:00+00:00,2021-08-11 10:00:00+00:00,326.83,327.02,330.7,11.711442382214093
VTBR,2021-08-10 13:00:00+00:00,2021-08-12 10:00:00+00:00,259.8,260.8,265.75,62.033964811461544
VTBR,2021-08-13 07:00:00+00:00,2021-08-13 13:00:00+00:00,261.85,258.35,262.65,-269.4709835358538
VTBR,2021-08-16 07:00:00+00:00,2021-08-18 15:00:00+00:00,259.7,258.625,264.5,-83.22820111300643
NVTK,2021-08-16 12:00:00+00:00,2021-08-19 06:00:00+00:00,1777.4,1773.0,1809.2,-39.81910377491464
SBER,2021-08-18 17:00:00+00:00,2021-08-19 06:00:00+00:00,338.29,333.5,338.29,-238.90838599231586
NVTK,2021-08-19 16:00:00+00:00,2021-08-20 12:00:00+00:00,1776.4,1736.0,1776.4,-455.6256193935738
ALRS,2021-09-01 08:00:00+00:00,2021-09-02 20:00:00+00:00,145.28,143.7,145.9,-173.51174305294458
IRAO,2021-08-31 10:00:00+00:00,2021-09-07 07:00:00+00:00,4.6355,4.753,4.828,505.5090220441988
NVTK,2021-09-03 19:00:00+00:00,2021-09-08 14:00:00+00:00,1839.4,1916.8,1956.0,535.9036502443232
ALRS,2021-09-03 15:00:00+00:00,2021-09-09 06:00:00+00:00,145.65,147.5,149.55,202.20560469594835
IRAO,2021-09-08 17:00:00+00:00,2021-09-09 11:00:00+00:00,4.867,4.7355,4.8685,-365.9959305163816
NVTK,2021-09-08 16:00:00+00:00,2021-09-09 17:00:00+00:00,1926.6,1901.2,1951.6,-223.23589283308618
NVTK,2021-09-10 07:00:00+00:00,2021-09-14 18:00:00+00:00,1918.8,1949.6,2003.8,321.6606962837784
ROSN,2021-09-24 09:00:00+00:00,2021-09-28 14:00:00+00:00,604.65,619.7,637.35,500.3817174190244
SNGS,2021-09-30 10:00:00+00:00,2021-10-04 09:00:00+00:00,36.435,36.1,36.795,-185.75974914831255
ROSN,2021-10-04 20:00:00+00:00,2021-10-06 07:00:00+00:00,631.7,645.0,660.85,424.5872918537424
SNGS,2021-10-05 16:00:00+00:00,2021-10-07 12:00:00+00:00,37.105,36.5,37.39,-210.44041034662646
ROSN,2021-10-06 08:00:00+00:00,2021-10-08 12:00:00+00:00,646.15,632.35,648.05,-308.46995260866987
SBER,2021-10-05 16:00:00+00:00,2021-10-12 10:00:00+00:00,363.01,381.94,387.6,841.2948672981668
SBER,2021-10-13 14:00:00+00:00,2021-10-14 13:00:00+00:00,379.26,374.61,382.0,-249.08500649162917
PLZL,2021-10-14 08:00:00+00:00,2021-10-15 12:00:00+00:00,1351.8,1342.0,1372.8,-117.82441567614289
PLZL,2021-10-19 16:00:00+00:00,2021-10-20 20:00:00+00:00,1390.0,1385.0,1429.0,-72.81407426270499
PLZL,2021-10-21 07:00:00+00:00,2021-10-25 15:00:00+00:00,1400.4,1408.6,1441.2,118.44297958259618
PLZL,2021-10-27 08:00:00+00:00,2021-10-29 19:00:00+00:00,1400.2,1398.8,1424.0,-20.248545776700656
PLZL,2021-11-08 19:00:00+00:00,2021-11-17 10:00:00+00:00,1484.0,1573.4,1611.6,1219.7550884733846
CHMF,2022-02-09 07:00:00+00:00,2022-02-10 08:00:00+00:00,1675.2,1623.4,1688.4,-633.6266704000196
SBER,2022-02-09 18:00:00+00:00,2022-02-11 06:00:00+00:00,278.1,271.16,279.85,-327.2719689512999
CHMF,2022-02-10 12:00:00+00:00,2022-02-11 06:00:00+00:00,1663.4,1631.2,1668.4,-279.97601030105204
ALRS,2022-02-09 17:00:00+00:00,2022-02-11 18:00:00+00:00,122.32,118.87,124.07,-462.3618187344142
CHMF,2022-02-11 13:00:00+00:00,2022-02-14 03:00:00+00:00,1646.2,1592.8,1646.2,-550.3019037046055
IRAO,2022-05-27 07:00:00+00:00,2022-06-01 07:00:00+00:00,3.148,3.1145,3.27,-213.26593837905955
IRAO,2022-06-17 15:00:00+00:00,2022-06-22 07:00:00+00:00,3.445,3.4815,3.64,211.879892263503
NVTK,2022-06-21 11:00:00+00:00,2022-06-24 08:00:00+00:00,1007.4,998.2,1043.0,-119.99718978724881
IRAO,2022-06-22 11:00:00+00:00,2022-06-29 06:00:00+00:00,3.5905,3.7,3.8475,531.0289918436245
SBER,2022-06-22 14:00:00+00:00,2022-06-29 07:00:00+00:00,132.5,137.87,141.75,564.556534576835
